Age,City,County,State,Sex,Race / Ethnicity
55.0,Brooklyn,Brookings,New York,Male,Hispanic / Latino
50.0,Brooklyn,Brookings,New York,Male,Asian
30.0,Manhattan,York,New York,Male,White / Caucasian
40.0,Queens,Queens,New York,Female,Uncertain
30.0,Los Angeles,Los Angeles,California,Unsure,Hispanic / Latino
50.0,Manhattan,York,New York,Male,"Hispanic / Latino, Uncertain"
25.0,San Francisco,San Francisco,California,Male,White / Caucasian
50.0,Queens,Queens,New York,Male,Asian
50.0,Brooklyn,Brookings,New York,Male,Hispanic / Latino
60.0,Washington,District of Columbia,District of Columbia,Female,White / Caucasian
50.0,Los Angeles,Los Angeles,California,Male,Hispanic / Latino
42.0,Lewiston,Niagara,New York,Female,White / Caucasian
50.0,Reading,Chambers,Pennsylvania,Male,Uncertain
70.0,Brooklyn,Brookings,New York,Male,Hispanic / Latino
65.0,Los Angeles,Los Angeles,California,Male,White / Caucasian
56.0,Austin,Travis,Texas,Female,White / Caucasian
50.0,Brooklyn,Brookings,New York,Male,Black / African American
45.0,Compton,Los Angeles,California,Unsure,"White / Caucasian, Hispanic / Latino"
21.0,Los Angeles,Los Angeles,California,Male,Black / African American
30.0,Orlando,New York,Pennsylvania,Female,White / Caucasian
40.0,Manhattan,York,New York,Female,Black / African American
55.0,Hyde Park,Dutchess,New York,Female,White / Caucasian
60.0,Manhattan,York,New York,Male,Black / African American
15.0,Mesa,Doña Ana,New Mexico,Unsure,Uncertain
11.0,Memphis,Shelby,Tennessee,Unsure,Uncertain
30.0,Los Angeles,Los Angeles,California,Male,Uncertain
0.0,Los Angeles,Los Angeles,California,Female,Uncertain
24.0,Los Angeles,Los Angeles,California,Male,White / Caucasian
20.0,Syracuse,Onondaga,New York,Female,Black / African American
40.0,Brooklyn,Brookings,New York,Female,"White / Caucasian, Uncertain"
35.0,Los Angeles,Los Angeles,California,Male,White / Caucasian
45.0,Bronx,Bronx,New York,Male,Hispanic / Latino
60.0,Brooklyn,Brookings,New York,Male,"White / Caucasian, Hispanic / Latino"
72.0,Austin,Travis,Texas,Male,Hispanic / Latino
50.0,San Diego,San Diego,California,Male,White / Caucasian
35.0,Manhattan,York,New York,Male,"Hispanic / Latino, Asian"
18.0,Gila Bend,Maricopa,Arizona,Female,Hispanic / Latino
35.0,Austin,Travis,Texas,Male,Hispanic / Latino
50.0,Philadelphia,Philadelphia,Pennsylvania,Male,Uncertain
60.0,Queens,Queens,New York,Female,Uncertain
